"","CODIGO","Frutos","Productividad","IFW","date","Treatment","Island","Species","HMAX"
"1",1720,1,0.103,0.103,2018-09-02,"Control","Santa Cruz","Solanum lycopersicum",NA
"2",3100,1,0.132,0.132,2017-10-13,"Control","Santa Cruz","Capsicum annuum",45
"3",4667,2,0.27,0.135,2016-10-11,"Groasis","Floreana","Solanum lycopersicum",38
"4",4995,46,5.854,0.127260869565217,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",195
"5",4996,54,6.429,0.119055555555556,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",190
"6",4997,42,4.785,0.113928571428571,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",185
"7",4998,54,5.903,0.109314814814815,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",190
"8",4999,41,4.292,0.104682926829268,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",195
"9",5000,47,4.973,0.105808510638298,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",195
"10",5001,35,3.452,0.0986285714285714,2016-09-16,"Groasis","Santa Cruz","Solanum lycopersicum",205
"11",5002,33,3.602,0.109151515151515,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",200
"12",5003,36,3.348,0.093,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",187
"13",5004,42,4.531,0.107880952380952,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",187
"14",5005,45,5.409,0.1202,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",187
"15",5006,62,6.851,0.1105,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",180
"16",5007,22,2.56,0.116363636363636,2016-08-25,"Groasis","Santa Cruz","Solanum lycopersicum",8
"17",5008,33,4.003,0.12130303030303,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",189
"18",5009,53,6.186,0.116716981132075,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",185
"19",5010,57,7.119,0.124894736842105,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum",180
"20",5011,58,8.48,0.146206896551724,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",140
"21",5012,35,3.63,0.103714285714286,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",143
"22",5013,49,6.278,0.128122448979592,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",185
"23",5014,10,0.941,0.0941,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",110
"24",5015,61,2.636,0.0432131147540984,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum",200
"25",5016,58,2.536,0.0437241379310345,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum",210
"26",5017,69,2.956,0.0428405797101449,2016-11-08,"Control","Santa Cruz","Solanum lycopersicum",195
"27",5018,63,2.721,0.0431904761904762,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum",205
"28",5019,57,2.473,0.0433859649122807,2016-11-08,"Control","Santa Cruz","Solanum lycopersicum",203
"29",5020,32,3.862,0.1206875,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum",250
"30",5021,36,3.818,0.106055555555556,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum",323
"31",5022,45,5.201,0.115577777777778,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum",240
"32",5023,16,1.788,0.11175,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum",238
"33",5024,49,5.521,0.112673469387755,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum",230
"34",5025,32,4.084,0.127625,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum",235
"35",5026,26,2.879,0.110730769230769,2016-11-08,"Groasis","Santa Cruz","Capsicum annuum",122
"36",5027,18,2.027,0.112611111111111,2016-11-08,"Groasis","Santa Cruz","Capsicum annuum",123
"37",5028,7,0.748,0.106857142857143,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",73
"38",5029,16,1.796,0.11225,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",112
"39",5030,16,1.44,0.09,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",86
"40",5031,10,1.017,0.1017,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",73
"41",5032,8,0.8,0.1,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",80
"42",5033,7,0.751,0.107285714285714,2016-09-09,"Groasis","Santa Cruz","Capsicum annuum",78
"43",5034,7,0.252,0.036,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",72
"44",5035,10,0.831,0.0831,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",60
"45",5036,4,0.46,0.115,2016-08-25,"Groasis","Santa Cruz","Capsicum annuum",70
"46",5037,9,0.803,0.0892222222222222,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",68
"47",5038,4,0.333,0.08325,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",93
"48",5039,4,0.417,0.10425,2016-09-16,"Groasis","Santa Cruz","Capsicum annuum",83
"49",5040,9,1.379,0.153222222222222,2016-10-17,"Groasis","Santa Cruz","Capsicum annuum",80
"50",5041,2,0.082,0.041,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",78
"51",5042,4,0.508,0.127,2016-11-08,"Groasis","Santa Cruz","Capsicum annuum",97
"52",5043,10,1.135,0.1135,2016-09-20,"Groasis","Santa Cruz","Capsicum annuum",73
"53",5044,13,1.391,0.107,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",83
"54",5045,18,1.507,0.0837222222222222,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",83
"55",5046,14,0.939,0.0670714285714286,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum",78
