"","CODIGO","Frutos","Productividad","IFW","date","Treatment","Island","Species"
"1",1720,1,0.103,0.103,2018-09-02,"Control","Santa Cruz","Solanum lycopersicum"
"2",3100,1,0.132,0.132,2017-10-13,"Control","Santa Cruz","Capsicum annuum"
"3",4667,2,0.27,0.135,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"4",4995,46,5.854,0.127260869565217,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"5",4996,54,6.429,0.119055555555556,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"6",4997,42,4.785,0.113928571428571,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"7",4998,54,5.903,0.109314814814815,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"8",4999,41,4.292,0.104682926829268,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"9",5000,47,4.973,0.105808510638298,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"10",5001,35,3.452,0.0986285714285714,2016-09-16,"Groasis","Santa Cruz","Solanum lycopersicum"
"11",5002,33,3.602,0.109151515151515,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"12",5003,36,3.348,0.093,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"13",5004,42,4.531,0.107880952380952,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"14",5005,45,5.409,0.1202,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"15",5006,62,6.851,0.1105,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"16",5007,22,2.56,0.116363636363636,2016-08-25,"Groasis","Santa Cruz","Solanum lycopersicum"
"17",5008,33,4.003,0.12130303030303,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"18",5009,53,6.186,0.116716981132075,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"19",5010,57,7.119,0.124894736842105,2016-11-08,"Groasis","Santa Cruz","Solanum lycopersicum"
"20",5011,58,8.48,0.146206896551724,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"21",5012,35,3.63,0.103714285714286,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"22",5013,49,6.278,0.128122448979592,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"23",5014,10,0.941,0.0941,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"24",5015,61,2.636,0.0432131147540984,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum"
"25",5016,58,2.536,0.0437241379310345,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum"
"26",5017,69,2.956,0.0428405797101449,2016-11-08,"Control","Santa Cruz","Solanum lycopersicum"
"27",5018,63,2.721,0.0431904761904762,2016-10-17,"Control","Santa Cruz","Solanum lycopersicum"
"28",5019,57,2.473,0.0433859649122807,2016-11-08,"Control","Santa Cruz","Solanum lycopersicum"
"29",5020,32,3.862,0.1206875,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"30",5021,36,3.818,0.106055555555556,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"31",5022,45,5.201,0.115577777777778,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"32",5023,16,1.788,0.11175,2016-10-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"33",5024,49,5.521,0.112673469387755,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"34",5025,32,4.084,0.127625,2017-01-17,"Groasis","Santa Cruz","Solanum lycopersicum"
"35",5026,26,2.879,0.110730769230769,2016-11-08,"Groasis","Santa Cruz","Capsicum annuum"
"36",5027,18,2.027,0.112611111111111,2016-11-08,"Groasis","Santa Cruz","Capsicum annuum"
"37",5028,7,0.748,0.106857142857143,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"38",5029,16,1.796,0.11225,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"39",5030,16,1.44,0.09,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"40",5031,10,1.017,0.1017,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"41",5032,8,0.8,0.1,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"42",5033,7,0.751,0.107285714285714,2016-09-09,"Groasis","Santa Cruz","Capsicum annuum"
"43",5034,7,0.252,0.036,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"44",5035,10,0.831,0.0831,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"45",5036,4,0.46,0.115,2016-08-25,"Groasis","Santa Cruz","Capsicum annuum"
"46",5037,9,0.803,0.0892222222222222,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"47",5038,4,0.333,0.08325,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"48",5039,4,0.417,0.10425,2016-09-16,"Groasis","Santa Cruz","Capsicum annuum"
"49",5040,9,1.379,0.153222222222222,2016-10-17,"Groasis","Santa Cruz","Capsicum annuum"
"50",5041,2,0.082,0.041,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"51",5042,4,0.508,0.127,2016-11-08,"Groasis","Santa Cruz","Capsicum annuum"
"52",5043,10,1.135,0.1135,2016-09-20,"Groasis","Santa Cruz","Capsicum annuum"
"53",5044,13,1.391,0.107,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"54",5045,18,1.507,0.0837222222222222,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"55",5046,14,0.939,0.0670714285714286,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"56",5047,32,2.726,0.0851875,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"57",5048,30,2.377,0.0792333333333333,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"58",5049,17,1.504,0.0884705882352941,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"59",5050,16,1.003,0.0626875,2017-01-17,"Control","Santa Cruz","Capsicum annuum"
"60",5050,16,1.003,0.0626875,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"61",5051,20,1.323,0.06615,2017-01-17,"Control","Santa Cruz","Capsicum annuum"
"62",5051,20,1.323,0.06615,2017-01-17,"Groasis","Santa Cruz","Capsicum annuum"
"63",5053,27,1.704,0.0631111111111111,2016-09-22,"Control","Santa Cruz","Solanum lycopersicum"
"64",5055,30,1.742,0.0580666666666667,2016-11-08,"Control","Santa Cruz","Capsicum annuum"
"65",5198,2,0.089,0.0445,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum"
"66",5200,1,0.042,0.042,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum"
"67",5201,2,0.083,0.0415,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum"
"68",5202,3,0.128,0.0426666666666667,2016-09-20,"Control","Santa Cruz","Solanum lycopersicum"
"69",5203,4,0.899,0.22475,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"70",5204,5,0.922,0.1844,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"71",5205,10,1.765,0.1765,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"72",5206,7,1.504,0.214857142857143,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"73",5207,6,1.101,0.1835,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"74",5208,10,1.92,0.192,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"75",5209,14,2.324,0.166,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"76",5210,10,1.969,0.1969,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"77",5211,10,1.968,0.1968,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"78",5212,8,1.488,0.186,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"79",5213,10,1.642,0.1642,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"80",5214,5,0.606,0.1212,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"81",5215,12,2.219,0.184916666666667,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"82",5216,9,1.503,0.167,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"83",5217,9,1.107,0.123,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"84",5218,14,2.259,0.161357142857143,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"85",5219,7,1.172,0.167428571428571,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"86",5220,9,1.314,0.146,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"87",5221,7,1.019,0.145571428571429,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"88",5222,5,0.89,0.178,2016-09-20,"Groasis","Santa Cruz","Solanum lycopersicum"
"89",5373,3,0.318,0.106,2016-04-12,"Groasis","Floreana","Solanum lycopersicum"
"90",5374,9,0.919,0.102111111111111,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"91",5375,2,0.188,0.094,2016-04-12,"Groasis","Floreana","Solanum lycopersicum"
"92",5377,2,0.19,0.095,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"93",5378,9,0.88,0.0977777777777778,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"94",5379,4,0.436,0.109,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"95",5383,10,1.141,0.1141,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"96",5387,3,0.301,0.100333333333333,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"97",5389,4,0.434,0.1085,2016-04-12,"Groasis","Floreana","Solanum lycopersicum"
"98",5390,3,0.323,0.107666666666667,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"99",5391,1,0.043,0.043,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"100",5392,2,0.149,0.0745,2016-10-11,"Groasis","Floreana","Solanum lycopersicum"
"101",5393,7,0.301,0.043,2016-10-11,"Control","Floreana","Solanum lycopersicum"
"102",5397,8,0.358,0.04475,2016-10-11,"Control","Floreana","Solanum lycopersicum"
"103",5398,1,0.198,0.198,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"104",5399,3,0.49,0.163333333333333,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"105",5402,2,0.427,0.2135,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"106",5404,1,0.229,0.229,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"107",5408,1,0.152,0.152,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"108",5410,1,0.142,0.142,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"109",5411,1,0.13,0.13,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"110",5412,1,0.252,0.252,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"111",5415,1,0.123,0.123,2016-10-11,"Groasis","Floreana","Cucumis sativus"
"112",5417,2,0.146,0.073,2016-10-11,"Control","Floreana","Cucumis sativus"
"113",5418,4,0.221,0.05525,2016-10-11,"Control","Floreana","Cucumis sativus"
"114",5419,2,0.101,0.0505,2016-10-11,"Control","Floreana","Cucumis sativus"
