,CODIGO,Frutos,Productividad,IFW,date,Treatment,Island,Species
1,1720,1,0.103,0.103,02/09/2018,Control,Santa Cruz,Solanum lycopersicum
193,7093,23,4.035,0.175434783,02/09/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
195,7094,20,3.671,0.18355,15/02/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
196,7095,16,2.393,0.1495625,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
197,7096,27,4.714,0.174592593,02/09/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
198,7097,23,4.218,0.183391304,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
199,7097,23,4.218,0.183391304,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
200,7098,23,3.696,0.160695652,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
201,7099,27,3.996,0.148,02/09/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
202,7100,19,3.352,0.176421053,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
203,7101,29,4.503,0.155275862,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
204,7102,21,1.952,0.092952381,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
205,7103,33,3.187,0.096575758,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
206,7103,33,3.187,0.096575758,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
207,7104,36,3.942,0.1095,02/09/2018,Control,Santa Cruz,Solanum lycopersicum
208,7105,29,3.718,0.128206897,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
209,7106,26,2.767,0.106423077,02/09/2018,Control,Santa Cruz,Solanum lycopersicum
210,7107,21,2.142,0.102,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
211,7108,20,2.282,0.1141,02/09/2018,Control,Santa Cruz,Solanum lycopersicum
212,7109,22,3.624,0.164727273,02/09/2018,Control,Santa Cruz,Solanum lycopersicum
213,7110,21,2.493,0.118714286,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
214,7111,32,3.786,0.1183125,02/09/2018,Control,Santa Cruz,Solanum lycopersicum
215,7112,31,4.078,0.131548387,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
216,7113,31,3.115,0.100483871,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
217,7114,22,2.348,0.106727273,02/09/2018,Control,Santa Cruz,Solanum lycopersicum
218,7114,22,2.348,0.106727273,02/09/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
219,7115,22,1.769,0.080409091,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
220,7116,15,1.645,0.109666667,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
221,7117,24,1.986,0.08275,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
222,7118,24,2.463,0.102625,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
223,7118,24,2.463,0.102625,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
224,7119,28,2.002,0.0715,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
225,7119,28,2.002,0.0715,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
226,7120,21,1.917,0.091285714,02/09/2018,Control,Santa Cruz,Solanum lycopersicum
227,7120,21,1.917,0.091285714,02/09/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
228,7121,19,1.765,0.092894737,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
229,7121,19,1.765,0.092894737,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
230,7122,41,5.429,0.132414634,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
231,7122,41,5.429,0.132414634,02/12/2018,Hidrogel,Santa Cruz,Solanum lycopersicum
232,7123,24,2.299,0.095791667,02/12/2018,Control,Santa Cruz,Solanum lycopersicum
233,7173,1,0.095,0.095,15/02/2018,Control,Santa Cruz,Solanum lycopersicum
235,7197,33,3.316,0.100484848,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
255,7217,49,4.699,0.095897959,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
256,7218,50,4.82,0.0964,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
257,7219,32,4.261,0.13315625,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
258,7220,52,4.697,0.090326923,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
259,7221,46,4.213,0.091586957,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
260,7222,46,4.165,0.090543478,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
261,7223,49,4.293,0.087612245,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
262,7224,63,6.081,0.09652381,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
263,7225,50,4.533,0.09066,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
264,7226,44,4.312,0.098,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
265,7227,39,3.972,0.101846154,03/09/2018,Control,Santa Cruz,Capsicum annuum
266,7227,39,3.972,0.101846154,03/09/2018,Hidrogel,Santa Cruz,Capsicum annuum
